"COLLEGE_CODE","PROGRAM_CODE","PROGRAM_DESC","MAJOR_CODE","MAJOR_DESC","KPI_DEGREE","KPI_DIVISION"
"2","2A03852","Advertising and Graphic Design","5270","Advertising and Graphic Design","Art","Fine Arts"
"1","1A31266","History AA-T","0083","History AA-T","Cypress College Degree","Cypress College Division"
"2","2A36861","Sociology","5903","Sociology","Sociology","Social Science"
"1","1C21106","Computer Programming","2091","Computer Programming","Cypress College Degree","Cypress College Division"
"2","2A33078","Geography AA-T","5521","Geography AA-T","Geography","Social Science"
"1","1C03803","Human Serv Generalist Cert","2480","Human Services Generalist","Cypress College Degree","Cypress College Division"
"2","2C10611","Cert Cmp Graph: Desktop Publ","7330","Com Graph: Desktop Publishing","Digital Arts","Fine Arts"
"2","2C15762","Cert Therap/Sprt MssgTherapist","7722","Therap/Sport Massage Therapist","Physical Education","Physical Education"
"1","1GA0016","CSU GE Area A Completed","0016","CSU GE Area A Completed","Cypress College Degree","Cypress College Division"
"1","1C31331","Proofreading","3471","Proofreading","Cypress College Degree","Cypress College Division"
"2","2A08435","AA Environmental Science","5420","Environmental Science","Environmental Sciences","Natural Science"
"1","1S03764","Marketing","0320","Marketing","Cypress College Degree","Cypress College Division"
"1","1C33368","Hearing Reporter","0164","Hearing Reporter","Cypress College Degree","Cypress College Division"
"2","2A03828","AA Comm-General","5200","Communications-General","Cinema Film TV","Tech and Engineering"
"1","1C31346","Collision Repair I-CAR GOLD","0074","Collision Repair I-CAR GOLD","Cypress College Degree","Cypress College Division"
"2","2S03887","AS Cosmetology","5330","Cosmetology","Cosmetology","Tech and Engineering"
"1","1C12974B","Engine Specialist","0117","AutoTech: Engine Specialist","Cypress College Degree","Cypress College Division"
"2","2C18750","Cert Technical Theatre","8500","Technical Theatre","Theatre Arts","Fine Arts"
"2","2A36790","Journalism AA-T","5212","Journalism AA-T","Journalism","Tech and Engineering"
"1","1K03792","Family Studies Basic Skill Cer","2510","Family Studies Basic","Cypress College Degree","Cypress College Division"
"1","1S31209","Computer & Office Applications","0127","Computer & Office Applications","Cypress College Degree","Cypress College Division"
"1","1C31187","Aviation Management","0065","Aviation Management","Cypress College Degree","Cypress College Division"
"1","1C14405","Basic Travel/Tourism","0114","Basic Travel/Tourism","Cypress College Degree","Cypress College Division"
"1","1C14403","Basic Airline Customer Service","0103","Basic Airline Customer Service","Cypress College Degree","Cypress College Division"
"1","1C07830","Athletic Coach","2450","Athletic Coach","Cypress College Degree","Cypress College Division"
"1","1C30459N","Legal Administrative Assistant","3011","Legal Administrative Assistant","Cypress College Degree","Cypress College Division"
"1","1C21111","Photography","0381","Photography","Cypress College Degree","Cypress College Division"
"2","2C10622","Cert Draft Tech: Ind Draft I","7470","Draft Tech: Ind Drafting I","Manufacturing","Tech and Engineering"
